model,lDDToligo_True,lDDToligo_EnQA-MSA
T1110TS187_5o,0.932,0.890625
T1110TS374_1o,0.927,0.90234375
T1110TS298_1o,0.929,0.90478515625
T1110TS314_5o,0.942,0.89306640625
T1110TS360_2o,0.932,0.88525390625
T1110TS360_4o,0.932,0.8828125
T1110TS374_4o,0.931,0.9072265625
T1110TS462_2o,0.928,0.9287109375
T1110TS125_2o,0.929,0.8984375
T1110TS169_5o,0.933,0.931640625
T1110TS360_1o,0.942,0.89306640625
T1110TS169_1o,0.933,0.931640625
T1110TS374_2o,0.929,0.90625
T1110TS098_5o,0.933,0.90185546875
T1110TS158_3o,0.931,0.9033203125
T1110TS003_4o,0.932,0.896484375
T1110TS360_3o,0.932,0.88623046875
T1110TS180_5o,0.928,0.92626953125
T1110TS439_1o,0.903,0.91552734375
T1110TS037_3o,0.933,0.9091796875
T1110TS446_4o,0.928,0.89501953125
T1110TS201_3o,0.926,0.9033203125
T1110TS086_4o,0.932,0.900390625
T1110TS180_1o,0.928,0.93212890625
T1110TS180_4o,0.927,0.92822265625
T1110TS037_1o,0.932,0.9208984375
T1110TS201_4o,0.93,0.90966796875
T1110TS201_5o,0.93,0.88818359375
T1110TS367_5o,0.929,0.90234375
T1110TS239_3o,0.903,0.91552734375
T1110TS374_5o,0.927,0.8984375
T1110TS158_4o,0.931,0.89794921875
T1110TS462_1o,0.927,0.9296875
T1110TS180_2o,0.927,0.93115234375
T1110TS348_5o,0.931,0.8837890625
T1110TS360_5o,0.931,0.884765625
T1110TS462_5o,0.926,0.92529296875
T1110TS205_3o,0.926,0.89111328125
T1110TS461_5o,0.93,0.88818359375
T1110TS350_4o,0.914,0.7099609375
T1110TS298_5o,0.93,0.89208984375
T1110TS291_4o,0.914,0.7099609375
T1110TS201_2o,0.93,0.90625
T1110TS446_5o,0.93,0.88818359375
T1110TS494_1o,0.922,0.8125
T1110TS462_3o,0.925,0.9267578125
T1110TS239_1o,0.9,0.9111328125
T1110TS446_3o,0.928,0.912109375
T1110TS201_1o,0.931,0.90625
T1110TS462_4o,0.925,0.9267578125
T1110TS239_5o,0.905,0.90869140625
T1110TS291_3o,0.916,0.7099609375
T1110TS350_3o,0.916,0.7099609375
T1110TS291_5o,0.915,0.7099609375
T1110TS348_4o,0.931,0.890625
T1110TS350_5o,0.915,0.7099609375
T1110TS071_4o,0.92,0.904296875
T1110TS446_1o,0.915,0.90380859375
T1110TS446_2o,0.927,0.9052734375
T1110TS444_1o,0.893,0.9091796875
T1110TS071_3o,0.914,0.9072265625
T1110TS125_5o,0.928,0.89111328125
T1110TS239_4o,0.904,0.8955078125
T1110TS350_1o,0.91,0.71044921875
T1110TS291_1o,0.91,0.71044921875
T1110TS444_4o,0.895,0.8935546875
T1110TS314_3o,0.9,0.7099609375
T1110TS131_4o,0.92,0.9033203125
T1110TS314_1o,0.901,0.71044921875
T1110TS314_2o,0.903,0.7099609375
T1110TS071_5o,0.92,0.89306640625
T1110TS205_2o,0.928,0.8955078125
T1110TS367_1o,0.915,0.92822265625
T1110TS367_2o,0.914,0.92822265625
T1110TS185_4o,0.912,0.89013671875
T1110TS399_1o,0.925,0.8818359375
T1110TS054_1o,0.925,0.8818359375
T1110TS367_3o,0.915,0.927734375
T1110TS350_2o,0.907,0.70947265625
T1110TS291_2o,0.907,0.70947265625
T1110TS312_4o,0.921,0.71240234375
T1110TS185_1o,0.906,0.91162109375
T1110TS185_3o,0.909,0.89892578125
T1110TS444_5o,0.888,0.9091796875
T1110TS187_1o,0.906,0.8681640625
T1110TS423_1o,0.906,0.8681640625
T1110TS444_3o,0.889,0.90966796875
T1110TS187_4o,0.901,0.86376953125
T1110TS185_5o,0.904,0.89306640625
T1110TS423_4o,0.901,0.86376953125
T1110TS091_4o,0.842,0.57421875
T1110TS312_5o,0.918,0.71240234375
T1110TS188_5o,0.907,0.8818359375
T1110TS288_5o,0.918,0.892578125
T1110TS385_1o,0.885,0.91015625
T1110TS185_2o,0.901,0.89892578125
T1110TS037_2o,0.858,0.794921875
T1110TS314_4o,0.9,0.71044921875
T1110TS444_2o,0.889,0.89453125
T1110TS125_4o,0.923,0.87841796875
T1110TS188_4o,0.911,0.89404296875
T1110TS493_3o,0.896,0.88818359375
T1110TS091_3o,0.83,0.580078125
T1110TS091_5o,0.831,0.56884765625
T1110TS091_1o,0.836,0.58642578125
T1110TS493_2o,0.897,0.8916015625
T1110TS494_2o,0.873,0.81396484375
T1110TS091_2o,0.826,0.57763671875
T1110TS447_4o,0.867,0.71240234375
T1110TS447_3o,0.867,0.71240234375
T1110TS125_3o,0.916,0.896484375
T1110TS278_1o,0.904,0.90478515625
T1110TS131_3o,0.914,0.8935546875
T1110TS131_2o,0.912,0.89404296875
T1110TS131_5o,0.914,0.892578125
T1110TS119_4o,0.912,0.89404296875
T1110TS131_1o,0.915,0.89208984375
T1110TS312_1o,0.913,0.71142578125
T1110TS119_2o,0.915,0.89208984375
T1110TS071_1o,0.915,0.888671875
T1110TS119_5o,0.872,0.8916015625
T1110TS071_2o,0.914,0.89501953125
T1110TS493_1o,0.887,0.890625
T1110TS493_5o,0.891,0.9013671875
T1110TS119_3o,0.877,0.88623046875
T1110TS461_2o,0.896,0.8828125
T1110TS119_1o,0.89,0.8916015625
T1110TS054_2o,0.908,0.87353515625
T1110TS399_2o,0.908,0.87353515625
T1110TS461_3o,0.891,0.880859375
T1110TS461_4o,0.895,0.88623046875
T1110TS439_2o,0.875,0.86962890625
T1110TS447_1o,0.849,0.70703125
T1110TS447_2o,0.849,0.70703125
T1110TS188_2o,0.87,0.91015625
T1110TS188_1o,0.87,0.91259765625
T1110TS073_4o,0.789,0.8837890625
T1110TS312_3o,0.905,0.71240234375
T1110TS461_1o,0.887,0.90234375
T1110TS054_3o,0.887,0.8974609375
T1110TS399_3o,0.887,0.8974609375
T1110TS399_4o,0.896,0.87744140625
T1110TS054_4o,0.896,0.87744140625
T1110TS494_3o,0.893,0.79638671875
T1110TS312_2o,0.904,0.7119140625
T1110TS493_4o,0.869,0.8974609375
T1110TS205_4o,0.8,0.70751953125
T1110TS205_5o,0.808,0.7080078125
T1110TS398_1o,0.813,0.91259765625
T1110TS073_3o,0.773,0.87841796875
T1110TS073_5o,0.758,0.87890625
T1110TS073_2o,0.756,0.8798828125
T1110TS073_1o,0.755,0.88623046875
T1110TS398_2o,0.817,0.9111328125
T1110TS165_2o,0.691,0.5625
T1110TS447_5o,0.817,0.70068359375
T1110TS165_4o,0.68,0.56396484375
T1110TS494_4o,0.671,0.77099609375
T1110TS165_1o,0.688,0.57958984375
T1110TS165_3o,0.688,0.5810546875
T1110TS278_3o,0.817,0.74658203125
T1110TS398_3o,0.782,0.90966796875
T1110TS248_4o,0.766,0.5361328125
T1110TS035_4o,0.766,0.5361328125
T1110TS278_5o,0.836,0.7763671875
T1110TS035_5o,0.743,0.5556640625
T1110TS248_5o,0.743,0.5556640625
T1110TS439_4o,0.801,0.75634765625
T1110TS248_3o,0.751,0.65869140625
T1110TS035_3o,0.751,0.65869140625
T1110TS494_5o,0.782,0.80322265625
T1110TS035_2o,0.773,0.64013671875
T1110TS248_2o,0.773,0.64013671875
T1110TS278_2o,0.81,0.74560546875
T1110TS439_3o,0.795,0.8115234375
T1110TS278_4o,0.823,0.81201171875
T1110TS165_5o,0.184,0.56591796875
T1110TS098_3o,0.073,0.775390625
T1110TS098_2o,0.102,0.81103515625
T1110TS398_5o,0.755,0.90771484375
T1110TS398_4o,0.741,0.9072265625
T1110TS234_1o,0.481,0.6025390625
